Fit             Iteration       K1              K2              alpha           
1.58813000e-01  2088            7.10310000e-02  2.84091950e+01  7.28564000e-01  
1.58874000e-01  1301            6.72150000e-02  2.48816730e+01  7.28564000e-01  
1.58918000e-01  2004            7.10310000e-02  2.78695090e+01  7.30004000e-01  
1.58973000e-01  1895            7.35900000e-02  2.71315690e+01  7.30057000e-01  
1.58989000e-01  1863            7.18310000e-02  2.77723230e+01  7.28564000e-01  
1.59043000e-01  1982            7.25260000e-02  2.71134260e+01  7.28564000e-01  
1.59132000e-01  2161            5.84510000e-02  2.89395920e+01  7.10280000e-01  
1.59190000e-01  1571            7.03490000e-02  2.78695090e+01  7.28564000e-01  
1.59202000e-01  1442            7.18320000e-02  3.03955810e+01  7.28564000e-01  
1.59252000e-01  1985            7.25260000e-02  2.71134260e+01  7.22613000e-01  
1.59265000e-01  1642            7.10310000e-02  2.78695090e+01  7.28564000e-01  
1.59289000e-01  2023            7.35900000e-02  2.71315690e+01  7.30004000e-01  
1.59307000e-01  1809            6.98950000e-02  2.75414820e+01  7.28564000e-01  
1.59377000e-01  2233            7.16160000e-02  2.71315690e+01  7.28564000e-01  
1.59382000e-01  2276            7.63030000e-02  2.91459810e+01  7.28564000e-01  
1.59394000e-01  1365            7.25260000e-02  2.64729140e+01  7.28564000e-01  
1.59396000e-01  2065            6.97160000e-02  2.76714080e+01  7.28564000e-01  
1.59419000e-01  2247            7.10310000e-02  2.79617520e+01  7.28564000e-01  
1.59461000e-01  1675            7.10310000e-02  2.91399900e+01  7.18488000e-01  
1.59541000e-01  2352            7.35900000e-02  2.96850060e+01  7.30035000e-01  
1.59545000e-01  2646            7.35900000e-02  2.84186590e+01  7.28564000e-01  
1.59559000e-01  2515            6.98950000e-02  2.75414820e+01  7.31048000e-01  
1.59567000e-01  2369            7.35900000e-02  2.89395920e+01  7.10280000e-01  
1.59576000e-01  2312            7.35900000e-02  3.16424700e+01  7.30004000e-01  
1.59683000e-01  1621            6.98950000e-02  2.76714080e+01  7.28564000e-01  
1.59774000e-01  1958            7.35900000e-02  2.94925210e+01  7.28564000e-01  
1.59793000e-01  1860            7.35900000e-02  2.78695090e+01  7.28564000e-01  
1.59856000e-01  2650            7.12810000e-02  3.11676580e+01  7.28564000e-01  
1.59938000e-01  2334            7.35900000e-02  2.78695090e+01  7.28564000e-01  
1.60040000e-01  1805            5.84510000e-02  2.78695090e+01  7.10280000e-01  
1.60083000e-01  1808            7.56980000e-02  2.71315690e+01  7.28564000e-01  
1.60173000e-01  2565            7.35900000e-02  2.84186590e+01  7.28564000e-01  
1.60232000e-01  1887            7.35900000e-02  2.78695090e+01  7.30004000e-01  
1.60251000e-01  1348            7.29800000e-02  2.52230860e+01  7.28564000e-01  
1.60255000e-01  1281            6.23890000e-02  2.78695090e+01  7.15408000e-01  
